model,manufacturer,prodYear,price,engineVolume,mileage
FIT,HONDA,2003,8154,1.5,189000 km
SL 55 AMG,MERCEDES-BENZ,2018,74953,4.7,29819 km
Orlando,CHEVROLET,2012,15423,2,229056 km
E 300,MERCEDES-BENZ,2017,314,2,26802 km
Forester,SUBARU,2014,19444,2.5,81000 km
Highlander,TOYOTA,2010,14269,3.3,300366 km
E 350,MERCEDES-BENZ,2014,188,3.5,67232 km
Avenger,DODGE,2012,706,3.6,667058 km
RX 350,LEXUS,2015,47042,3.5,90680 km
FIT,HONDA,2009,12544,1.5,240000 km
Santa FE,HYUNDAI,2020,16308,2.4,15149 km
Camry SE,TOYOTA,2012,26657,2.5,144000 km
Sonata,HYUNDAI,2012,282,2.4,226814 km
C-MAX,FORD,2013,22580,2,60000 km
Vito,MERCEDES-BENZ,2010,34497,2.2,315000 km
Escape,FORD,2011,314,2.5,130306 km
Q5,AUDI,2012,36692,3.2,56000 km
318,BMW,2003,50,1.8,220000 km
Aqua S,TOYOTA,2012,9722,1.5,150000 km
ML 350,MERCEDES-BENZ,2012,2979,3,180251 km
Santa FE,HYUNDAI,2015,51373,2,94090 km
Pajero,MITSUBISHI,1992,8781,2.5 Turbo,11111 km
Cruze,CHEVROLET,2011,14884,2,162001 km
RAV 4,TOYOTA,2018,282,2.5,61742 km
Cr-v,HONDA,1999,6115,2,275200 km
X-type,JAGUAR,2004,5959,2.1,96000 km
H1,HYUNDAI,2014,30583,2.5,120309 km
318,BMW,1995,4077,1.8,300000 km
Camry,TOYOTA,2007,15053,2.4,144000 km
Pajero IO,MITSUBISHI,2005,15053,2,155800 km
318,BMW,1998,6899,1.9,1000 km
Transit,FORD,2004,13485,2.0 Turbo,132000 km
X5,BMW,2015,15994,3,204461 km
Sonata,HYUNDAI,2016,16308,2,251768 km
Sonata,HYUNDAI,2016,11290,2,292837 km
Prius,TOYOTA,2007,11917,1.5,336000 km
Aqua,TOYOTA,2012,16869,1.5,157000 km
Fusion,FORD,2014,4861,2,124493 km
Caddy,VOLKSWAGEN,1997,3763,1.9,260000 km
Tucson,HYUNDAI,2017,48534,1.7,45331 km
Corolla,TOYOTA,2014,21639,1.8,143000 km
Fusion,FORD,2012,8938,2.5,256000 km
ISIS,TOYOTA,2007,50,2,250000 km
Optima,KIA,2016,22580,2.4,74500 km
Escape,FORD,2016,16308,1.6,0 km
Elantra,HYUNDAI,2014,18817,1.8,150400 km
Corolla,TOYOTA,2015,4861,1.8,152630 km
Forester,SUBARU,2014,25716,2.5,50000 km
Camry,TOYOTA,2013,5018,2.5,124184 km
Prius,TOYOTA,2010,40,1.8,18000 km
Prius,TOYOTA,2007,8781,1.5,154000 km
Vitz RS,TOYOTA,2008,12544,1.3,112000 km
Prius V,TOYOTA,2013,20071,1.8,147000 km
E 300,MERCEDES-BENZ,2017,392,2,1600 km
Orlando,CHEVROLET,2012,14834,2,218525 km
Sportage,KIA,2007,6899,2,91232 km
REXTON,SSANGYONG,2014,42987,2,119950 km
E 320,MERCEDES-BENZ,2003,20385,3.2,136000 km
ML 350,MERCEDES-BENZ,2010,26971,3.5,216600 km
E 220,MERCEDES-BENZ,1999,9408,2.2 Turbo,3000 km
FIT,HONDA,2005,50,1.3,150000 km
Santa FE,HYUNDAI,2012,32340,2,138013 km
Elantra,HYUNDAI,2007,11368,1.6,139000 km
FIT,HONDA,2016,862,1.5,31869 km
Cruze,CHEVROLET,2012,14113,1.4 Turbo,104000 km
Crafter,VOLKSWAGEN,2009,16621,2.5 Turbo,335000 km
Camry XLE,TOYOTA,2012,21796,2.5,98298 km
Juke,NISSAN,2012,21169,1.6 Turbo,128000 km
ML 350,MERCEDES-BENZ,2011,470,3,275862 km
E 350,MERCEDES-BENZ,2012,29793,3.5,56277 km
Elantra,HYUNDAI,2012,15367,1.8,100000 km
FIT,HONDA,2013,549,1.5,119213 km
Compass,JEEP,2012,32305,2.4,88000 km
Elantra,HYUNDAI,2012,12544,1.8,0 km
Sonata LIMITED,HYUNDAI,2013,19130,2.4,107200 km
Escape,FORD,2008,14426,2.5,148800 km
330,BMW,2007,60,3,157800 km
Corolla,TOYOTA,2003,8154,1.6,2000000 km
Tucson SE,HYUNDAI,2017,30734,1.6 Turbo,28897 km
Escape,FORD,2015,28852,1.6 Turbo,123000 km
RAV 4,TOYOTA,2008,25089,2.2,150000 km
ML 350,MERCEDES-BENZ,2012,157,3.5,245762 km
H1,HYUNDAI,2016,42218,2.5,96334 km
E 350,MERCEDES-BENZ,2014,188,3.5,67232 km
Prius,TOYOTA,2012,470,1.8,373634 km
Genesis,HYUNDAI,2012,17249,3.8,94055 km
Tucson,HYUNDAI,2017,36068,2,140004 km
Zafira,OPEL,2003,9408,1.6,197500 km
Sonata,HYUNDAI,2016,13172,2,488038 km
Elantra,HYUNDAI,2016,21395,1.6,138241 km
Prius,TOYOTA,2011,17876,1.8,100006 km
Camry,TOYOTA,2013,3920,2.5,308694 km
A8,AUDI,2015,706,3,131674 km
Prius,TOYOTA,2014,18817,1.5,89986 km
Vectra,OPEL,2001,4704,2.2,175000 km
H1,HYUNDAI,2007,21953,2.4 Turbo,84000 km
C 250 1.8,MERCEDES-BENZ,2013,26030,1.8 Turbo,83500 km
Megane 1.9 CDI,RENAULT,2008,14583,1.9 Turbo,163124 km
Jetta SE,VOLKSWAGEN,2016,16621,1.4 Turbo,76466 km
Prius,TOYOTA,2014,188,1.8,146019 km
IS 250,LEXUS,2010,26030,2.5,117000 km
Ipsum,TOYOTA,2002,10820,2.4,110000 km
F-pace,JAGUAR,2017,549,3,28421 km
Prius,TOYOTA,2012,19914,1.8,212800 km
Prius,TOYOTA,2009,30,1.5,80000 km
RAV 4,TOYOTA,2015,706,2.5,99616 km
HS 250h,LEXUS,2011,100,2.4,150000 km
Sonata,HYUNDAI,2011,14834,2,190000 km
Camry HYBRID,TOYOTA,2012,11604,2.5,87725 km
Passat sel,VOLKSWAGEN,2013,22580,2.5,60000 km
Elantra,HYUNDAI,2012,20297,1.6,165000 km
E 350,MERCEDES-BENZ,2014,29793,3.5,219030 km
Insight,HONDA,2011,13328,1.3,172997 km
Highlander,TOYOTA,2012,9565,3.5,285186 km
Prius,TOYOTA,2013,18660,1.8,71257 km
ML 350,MERCEDES-BENZ,2014,68994,3.5 Turbo,207568 km
Astra,OPEL,2007,13799,1.4,185000 km
Elantra,HYUNDAI,2012,19707,1.6,123000 km
Tucson SE,HYUNDAI,2017,28068,2,31241 km
Fusion,FORD,2013,27598,2,181000 km
Camry,TOYOTA,2016,3763,2.5,39741 km
A7,AUDI,2016,79971,3.0 Turbo,35500 km
Impala,CHEVROLET,2016,34387,2.5,161350 km
X5 E70,BMW,2013,28225,3.0 Turbo,119700 km
Optima,KIA,2014,100,2.4 Turbo,68000 km
Tucson,HYUNDAI,2012,20814,2,171996 km
Cruze,CHEVROLET,2012,11992,2,227073 km
LS 460,LEXUS,2016,25716,4.6,45845 km
Verisa,MAZDA,2007,9408,1.5,141000 km
Prius,TOYOTA,2007,30,1.5,3200 km
Mustang,FORD,2014,31361,3.7,128000 km
Prius,TOYOTA,2015,470,1.8,188067 km
FIT,HONDA,2013,15367,1.5,163000 km
Sonata,HYUNDAI,2010,15367,2.4,127000 km
Camry,TOYOTA,2014,706,2.5,115312 km
Avalon,TOYOTA,2016,1882,2.5,55096 km
C-MAX,FORD,2013,17249,2,204010 km
C 220,MERCEDES-BENZ,1995,5645,2.2,310000 km
B9 Tribeca,SUBARU,2008,10976,3.6,300000 km
H1,HYUNDAI,2014,24559,2.5,68578 km
Sonata,HYUNDAI,2012,1176,2.4,0 km
Aqua,TOYOTA,2014,26033,1.5,38311 km
Equinox,CHEVROLET,2013,3136,2.4,168179 km
C-MAX,FORD,2014,22266,2,102000 km
Insight,HONDA,2011,706,1.3,288704 km
Juke,NISSAN,2013,2901,1.6,166013 km
Prius,TOYOTA,2010,17876,1.8,200000 km
Camry,TOYOTA,2010,470,2.5,0 km
335,BMW,2011,2666,3,69950 km
LAFESTA,NISSAN,2007,5500,2,200000 km
Mustang,FORD,2011,24462,3.7,132000 km
Equinox,CHEVROLET,2013,627,2.4,160242 km
Santa FE,HYUNDAI,2013,29166,2,53240 km
Aqua S,TOYOTA,2013,10036,1.5,117000 km
Combo,OPEL,2007,9095,1.3 Turbo,185000 km
Accent,HYUNDAI,2014,13589,1.6,143000 km
FIT,HONDA,2014,25243,1.5,28300 km
Sonata,HYUNDAI,2010,12720,2,111293 km
Aqua,TOYOTA,2013,12231,1.5,185000 km
XK,JAGUAR,2012,3450,5,84541 km
Cruze,CHEVROLET,2019,470,1.4,43371 km
Mazda 6,MAZDA,2002,6272,2.3,224000 km
REXTON,SSANGYONG,2017,58579,2.2,58113 km
Camry,TOYOTA,2019,61154,2.4,10000 km
Elantra,HYUNDAI,2016,3136,2,40464 km
Elantra,HYUNDAI,2013,50,1.8,96000 km
Patrol,NISSAN,2000,26657,3.0 Turbo,320000 km
Camaro,CHEVROLET,2013,29793,3.6,131000 km
E 220 ELEGANCE,MERCEDES-BENZ,2004,10976,2.2 Turbo,257000 km
RAV 4,TOYOTA,2010,2822,2.5,136171 km
Sonata,HYUNDAI,2015,11604,2,404303 km
GX 470,LEXUS,2010,16308,4.6,357246 km
Transit,FORD,2005,16621,2.4 Turbo,350000 km
Cruze,CHEVROLET,2012,15681,1.4 Turbo,140000 km
Tucson,HYUNDAI,2019,66479,2,7771 km
Fusion,FORD,2015,470,2,367720 km
Camry,TOYOTA,2014,22894,2.5,94000 km
Santa FE,HYUNDAI,2017,62355,2,75000 km
Actyon,SSANGYONG,2011,17035,2,157456 km
Camry,TOYOTA,2013,4234,2.5,26918 km
Forester,SUBARU,2013,94,2.5,74688 km
S 420,MERCEDES-BENZ,1986,10976,4.2,260000 km
Aveo,CHEVROLET,2012,13987,1.6,111937 km
Prius,TOYOTA,2013,19130,1.8,109200 km
Jetta,VOLKSWAGEN,2012,14426,2.5,169600 km
FIT,HONDA,2012,11133,1.3,154000 km
Optima,KIA,2015,22894,2.4,89248 km
ML 350,MERCEDES-BENZ,2008,282,3,213998 km
Accord,HONDA,2010,2666,3.5,241786 km
RAV 4,TOYOTA,2018,46728,2.5,51200 km
528,BMW,2008,17876,3,220000 km
E 300,MERCEDES-BENZ,2017,56136,2,50963 km
H1,HYUNDAI,2014,25264,2.5,198916 km
FIT,HONDA,2004,6586,1.3,204950 km
Sprinter 516,MERCEDES-BENZ,2013,87021,2.2 Turbo,240000 km
Sonata,HYUNDAI,2012,251,2.4,259184 km
Highlander,TOYOTA,2014,30420,3.5,95000 km
Sentra,NISSAN,2016,21953,1.8,56000 km
Avalon,TOYOTA,2014,47000,2.5,73602 km
Forester,SUBARU,2012,549,2.5,148213 km
GX 460,LEXUS,2017,470,4.6,69918 km
FIT,HONDA,2018,55845,1.5,29939 km
Elantra,HYUNDAI,2013,392,1.8,156326 km
Odyssey,HONDA,2005,3136,2.4,1111 km
Impreza,SUBARU,2011,14900,2,128000 km
Camry,TOYOTA,2015,5331,2.5,245792 km
Jetta,VOLKSWAGEN,2013,13900,2,95000 km
Prius,TOYOTA,2008,11290,1.5,23000 km
Outlander,MITSUBISHI,2013,26971,3,126000 km
Camry,TOYOTA,2014,5959,2.5,0 km
CX-7,MAZDA,2011,549,2.5,216550 km
Rogue SPORT,NISSAN,2018,43592,2,70000 km
Sorento,KIA,2018,3293,2.4,57618 km
H1,HYUNDAI,2014,36899,2.5,86227 km
Santa FE,HYUNDAI,2017,51194,2,114000 km
Orlando,CHEVROLET,2012,21768,2,86342 km
REXTON,SSANGYONG,2013,35043,2,92728 km
Aqua,TOYOTA,2012,10349,1.5,180000 km
Crosstrek,SUBARU,2019,14426,2,1275 km
Cruze,CHEVROLET,2012,15681,1.4 Turbo,140000 km
C-MAX,FORD,2015,23521,2,179200 km
G37,INFINITI,2008,26657,3.7,151000 km
E 240,MERCEDES-BENZ,2000,9408,2.4,252000 km
Prius,TOYOTA,2014,24148,1.8,132669 km
Golf,VOLKSWAGEN,1996,4704,2,280000 km
Prius C,TOYOTA,2014,12544,1.5,547744 km
Regal,BUICK,2011,282,2.4,229677 km
Santa FE,HYUNDAI,2015,32744,2,174899 km
Passat,VOLKSWAGEN,2014,22580,1.8,78000 km
E 240,MERCEDES-BENZ,2004,13799,2.4,95140 km
Vitz,TOYOTA,2005,8151,1.3,190000 km
Prius,TOYOTA,2010,15367,1.8,241000 km
CHR,TOYOTA,2019,29793,2,4330 km
E 350,MERCEDES-BENZ,2011,314,3.5,132630 km
Sonata,HYUNDAI,2012,4547,2.4,259934 km
Optima,KIA,2014,16778,2,40228 km
Sportage,KIA,2007,6899,2,79776 km
Astra,OPEL,1998,6586,1.6,224000 km
Vitz,TOYOTA,2004,6586,1.5,178000 km
Camry,TOYOTA,2012,22260,2.5,70000 km
Veloster,HYUNDAI,2013,14113,1.6,90000 km
Passat,VOLKSWAGEN,2016,26343,1.8 Turbo,87000 km
ML 350 SPECIAL EDITION,MERCEDES-BENZ,2004,20071,3.5,175000 km
Equinox,CHEVROLET,2012,1019,3,343283 km
318,BMW,1999,4077,1.9,12000 km
RX 350,LEXUS,2015,12544,3.5,92035 km
Captiva,CHEVROLET,2012,13485,3,155000 km
E 260,MERCEDES-BENZ,1992,3450,2.6,0 km
Juke,NISSAN,2011,470,1.6,0 km
Prius,TOYOTA,2008,30,1.6,45888 km
Actyon,SSANGYONG,2016,43868,1.6,68961 km
Camry,TOYOTA,2013,3763,2.5,124912 km
GX 470,LEXUS,2013,6272,4.6,202651 km
Sonata,HYUNDAI,2015,12544,2,548407 km
Actyon,SSANGYONG,2017,35610,1.6,71402 km
Santa FE,HYUNDAI,2014,55638,2,91321 km
Elantra,HYUNDAI,2011,18798,1.6,158000 km
March,NISSAN,2012,7500,1.2,66000 km
Rogue,NISSAN,2011,1411,2.5,135467 km
Juke,NISSAN,2015,29793,1.6 Turbo,29120 km
REXTON,SSANGYONG,2016,53872,2.2,14950 km
C 250,MERCEDES-BENZ,2014,36065,1.8 Turbo,72000 km
Prius,TOYOTA,2015,2038,1.8,104795 km
Aqua,TOYOTA,2014,9500,1.5,96000 km
CT 200h,LEXUS,2011,706,1.8,116869 km
Viano,MERCEDES-BENZ,2004,23521,3.2,245000 km
Optima HYBRID,KIA,2014,15524,2.4,269513 km
Prius C hybrid,TOYOTA,2014,14740,1.5,152000 km
Odyssey,HONDA,2012,3136,3.5,0 km
E 350,MERCEDES-BENZ,2012,9252,3,171221 km
Countryman,MINI,2011,25716,1.6 Turbo,184000 km
Elantra,HYUNDAI,2015,27065,1.6,103825 km
4Runner,TOYOTA,2013,392,4,194605 km
C-MAX SE,FORD,2012,11604,2,11593 km
Rogue,NISSAN,2011,12544,2.5,57000 km
Astra,OPEL,2007,12544,1.4,150000 km
S60,VOLVO,2011,9408,2.5 Turbo,100000 km
Prius,TOYOTA,2012,18100,1.8,115000 km
Camry,TOYOTA,2012,392,2.5,50226 km
Juke juke,NISSAN,2010,19444,1.6 Turbo,162309 km
Sorento,KIA,2010,15367,2.2,77400 km
Civic,HONDA,2013,8311,1.5,144872 km
Prius,TOYOTA,2013,18817,1.8,199373 km
Genesis,HYUNDAI,2014,34074,2,65840 km
Verisa,MAZDA,2005,8154,1.5,0 km
CT 200h,LEXUS,2015,470,1.8,115347 km
E 320,MERCEDES-BENZ,2001,9408,3.2,2000 km
Camry,TOYOTA,2017,21796,2.5,48000 km
Civic,HONDA,2018,53185,2,38639 km
REXTON,SSANGYONG,2011,22649,2,131114 km
E 350,MERCEDES-BENZ,2012,627,3.5,318285 km
E 320,MERCEDES-BENZ,2003,11917,3.2,0 km
Impala,CHEVROLET,2016,38251,2.5,129459 km
Elantra,HYUNDAI,2018,33575,1.6,65734 km
Astra,OPEL,1996,3500,1.6,30000 km
RS7,AUDI,2016,549,4,112701 km
FIT Hybrid,HONDA,2013,15053,1.3,114000 km
GX 460,LEXUS,2014,941,4.6,200402 km
Elantra,HYUNDAI,2016,17876,2,54590 km
Transit,FORD,1996,7840,2.5,0 km
A4,AUDI,2011,27911,2.0 Turbo,147200 km
C-MAX,FORD,2014,16621,2,254455 km
Q5,AUDI,2010,4077,3.2,282643 km
Fusion,FORD,2013,10349,1.6 Turbo,117000 km
Fusion,FORD,2014,18189,2.5,133000 km
Lacetti,DAEWOO,2011,12432,1.6,160622 km
Elantra,HYUNDAI,2010,15132,1.6,103149 km
E 350,MERCEDES-BENZ,2012,4861,3.5,128202 km
F150,FORD,2016,126322,3.5,33543 km
C 180,MERCEDES-BENZ,2001,4600,2,296399 km
Captiva,CHEVROLET,2007,13485,2.0 Turbo,120000 km
ML 350,MERCEDES-BENZ,2012,549,3,169939 km
Sentra,NISSAN,2017,627,1.8,150747 km
Escape,FORD,2011,314,2.5,130306 km
Tucson,HYUNDAI,2018,43714,1.7,38945 km
RX 350,LEXUS,2015,54882,3.5,37000 km
Prius,TOYOTA,2008,12544,1.5,176000 km
H1,HYUNDAI,2016,44517,2.5,124708 km
Explorer,FORD,2013,65024,3.5,46616 km
CT 200h,LEXUS,2014,11447,1.8,132563 km
Grand Vitara,SUZUKI,2006,13700,2.7,299200 km
ML 350,MERCEDES-BENZ,2014,1646,3.5,0 km
CX-9,MAZDA,2011,549,3.7,134157 km
Prius,TOYOTA,2009,17876,1.8,211200 km
Orlando,CHEVROLET,2016,23304,1.6,122198 km
Sonata,HYUNDAI,2015,15367,2,283895 km
Prius,TOYOTA,2014,23000,1.8,68000 km
Jetta,VOLKSWAGEN,1999,4704,2,248000 km
Elantra,HYUNDAI,2013,13172,1.8,80000 km
Prius,TOYOTA,2013,549,1.8,298248 km
ML 350,MERCEDES-BENZ,2008,282,3,213998 km
Crossfire,CHRYSLER,2005,13799,3,100000 km
H1,HYUNDAI,2012,17346,2.5,230000 km
Sonata,HYUNDAI,2013,17249,2.4,115000 km
535,BMW,2011,34497,3.0 Turbo,156000 km
CT 200h,LEXUS,2011,470,1.8,228610 km
Orlando,CHEVROLET,2014,19080,1.6,161296 km
GX 460,LEXUS,2011,43278,4.6,160138 km
Prius,TOYOTA,2015,2038,1.8,104795 km
Astra G,OPEL,2000,5959,1.6,185777 km
H1,HYUNDAI,2014,23436,2.5,173490 km
CLK 200,MERCEDES-BENZ,2000,7213,2,226000 km
X4,BMW,2015,14269,2,96360 km
Accent,HYUNDAI,2012,13589,1.6,114500 km
RX 350,LEXUS,2010,3450,3.5,136542 km
Actyon,SSANGYONG,2010,20005,2,121899 km
Montero,MITSUBISHI,2003,9408,3.8,101000 km
Sonata,HYUNDAI,2015,9252,2,510248 km
Cooper F-56,MINI,2014,18503,1.5 Turbo,86234 km
Prius,TOYOTA,2011,17249,1.8,142000 km
ML 350,MERCEDES-BENZ,2012,157,3,145227 km
528,BMW,2009,14740,3,275000 km
Prius,TOYOTA,2010,17876,1.8,150000 km
Gentra,DAEWOO,2009,3763,1.6,91930 km
G37,INFINITI,2011,470,3.7,158128 km
ML 350,MERCEDES-BENZ,2011,12074,3,246600 km
Edge,FORD,2016,50178,2.0 Turbo,8000 km
Escape,FORD,2010,17249,2.5,131000 km
320,BMW,1996,6586,2,357806 km
Korando,SSANGYONG,2014,28830,2,72030 km
Avenger,DODGE,2012,392,3.6,350421 km
X5,BMW,2015,94083,3,160000 km
Insight,HONDA,2010,11917,1.3,171200 km
FIT,HONDA,2009,8781,1.3,185000 km
X6 Limited,BMW,2012,62722,3.0 Turbo,95000 km
Escape,FORD,2008,1333,0.4,349288 km
Fusion,FORD,2015,2587,2,88795 km
S-type,JAGUAR,2003,314,3,0 km
Picanto,KIA,2017,14000,1.2,46000 km
CHR,TOYOTA,2019,5488,2,78424 km
Camry,TOYOTA,2018,9722,2.5,127515 km
E 350,MERCEDES-BENZ,2011,314,3.5,132630 km
Prius,TOYOTA,2010,3293,1.8,159382 km
A4,AUDI,2013,282,2,157584 km
RAV 4,TOYOTA,2015,23521,2.5,58285 km
Cruze,CHEVROLET,2012,12858,1.4 Turbo,122488 km
Elantra,HYUNDAI,2017,1019,1.6,25635 km
Airtrek,MITSUBISHI,2002,8781,2.0 Turbo,168000 km
2103 03,VAZ,1981,2800,1.3,55000 km
Cruze,CHEVROLET,2009,6272,1.6,49232 km
Sonata,HYUNDAI,2015,12544,2,600805 km
528,BMW,2015,549,2,118907 km
X1,BMW,2013,28225,2,108000 km
Corolla LE,TOYOTA,2012,16308,1.8,124000 km
ML 350,MERCEDES-BENZ,2012,22266,3.5,193267 km
E 350,MERCEDES-BENZ,2008,2430,3,175614 km
Prius,TOYOTA,2010,314,1.8,287146 km
Prius,TOYOTA,2015,4234,1.8,123778 km
Grand Cherokee,JEEP,2017,1490,3.6,44690 km
I30,HYUNDAI,2012,17634,1.6,183380 km
Elantra,HYUNDAI,2007,11992,1.6,150863 km
Jetta,VOLKSWAGEN,2017,23521,1.4 Turbo,28000 km
Prius,TOYOTA,2008,3920,1.5,337600 km
Countryman,MINI,2011,19757,1.6,119416 km
Avenger,DODGE,2012,10976,2.4,110000 km
Presage,NISSAN,2004,10000,2.5,0 km
Sonata,HYUNDAI,2015,13799,2,30258 km
Camry,TOYOTA,2013,94,2.5,202994 km
X5,BMW,2014,77775,3.5 Turbo,158000 km
FIT,HONDA,2014,10192,1.4 Turbo,0 km
Camry,TOYOTA,2012,20071,2.5,94000 km
Acadia,GMC,2011,2352,3.6,177376 km
Santa FE,HYUNDAI,2014,30583,2,212762 km
Forester,SUBARU,2013,9095,2.5,173000 km
CHR,TOYOTA,2019,470,2,10610 km
E 320,MERCEDES-BENZ,2000,9500,3.2,0 km
Passat,VOLKSWAGEN,2001,6899,1.8 Turbo,0 km
Santa FE,HYUNDAI,2015,44247,2,153958 km
Transit,FORD,2003,2300,2.4 Turbo,13000 km
Sonata,HYUNDAI,2016,15681,2,248705 km
Sorento,KIA,2014,29793,2,43340 km
Elantra,HYUNDAI,2010,16894,1.6,71202 km
Escape,FORD,2011,14426,2.4,128000 km
Prius,TOYOTA,2013,16935,1.5,91400 km
GX 470,LEXUS,2013,1490,4.6,154115 km
Golf,VOLKSWAGEN,1996,3763,1.6,220000 km
Grandeur,HYUNDAI,2014,25205,3,253966 km
Optima,KIA,2014,15681,2.4,98579 km
Civic,HONDA,2015,2038,1.8,80542 km
Orlando,CHEVROLET,2016,15677,1.6,30374 km
H1,HYUNDAI,2012,22423,2.5,75437 km
Tucson,HYUNDAI,2015,32954,2,103589 km
Escape,FORD,2010,862,2.5,174926 km
Explorer,FORD,2014,63839,3.5,48515 km
Fusion,FORD,2014,314,2,124493 km
A 190,MERCEDES-BENZ,1987,2822,2,240000 km
NX 300,LEXUS,2016,106957,2.5,53649 km
H1,HYUNDAI,2011,18654,2.5,69624 km
Sonata,HYUNDAI,2015,10976,2,311337 km
Cruze,CHEVROLET,2012,16766,2,90815 km
Jetta,VOLKSWAGEN,2012,14113,2.5,120000 km
A4,AUDI,2014,1254,2,42395 km
C-MAX,FORD,2013,19757,2,72000 km
Volt,CHEVROLET,2017,26030,1.5,52062 km
Highlander,TOYOTA,2016,10663,3.5,109344 km
Corsa,OPEL,1996,2500,1.6,211375 km
Encore,BUICK,2016,25716,1.4 Turbo,10295 km
Santa FE,HYUNDAI,2011,27889,2,151594 km
Astra,OPEL,2008,12544,1.4,155485 km
X5,BMW,2012,7213,3,274098 km
Prius,TOYOTA,2007,12544,1.5,150000 km
Juke Juke,NISSAN,2012,21953,1.6 Turbo,55395 km
GX 460,LEXUS,2015,5018,4.6,188078 km
H1,HYUNDAI,2016,42218,2.5,96334 km
Galant,MITSUBISHI,2003,5331,2.0 Turbo,84000 km
NX 200,LEXUS,2016,60684,2.0 Turbo,37514 km
RAM,DODGE,2012,7056,5.7,0 km
Volt,CHEVROLET,2017,188,1.5,125358 km
REXTON,SSANGYONG,2009,9063,2.7,77016 km
RX 350,LEXUS,2015,22266,3.5,54822 km
H1,HYUNDAI,2014,25264,2.5,198916 km
Juke,NISSAN,2011,20385,1.6 Turbo,133000 km
Prius C,TOYOTA,2014,20071,1.5,51000 km
Astra,OPEL,1998,6899,1.6,150000 km
FIT,HONDA,2007,30,1.3,0 km
Prius,TOYOTA,2011,15900,1.8,160000 km
CT 200h,LEXUS,2015,1725,1.8,94949 km
Actyon,SSANGYONG,2011,16894,2,146610 km
Captiva,CHEVROLET,2015,25763,2.2,78356 km
Spark,CHEVROLET,2014,8778,1,34855 km
Transit,FORD,2001,20385,2.4 Turbo,240000 km
Acadia,GMC,2001,314,4.8,335739 km
ML 300,MERCEDES-BENZ,2007,25089,3,180000 km
Elantra,HYUNDAI,2014,25889,1.6,84640 km
Pajero,MITSUBISHI,1997,17249,2.8 Turbo,159000 km
V50,VOLVO,2010,16308,1.6 Turbo,180300 km
Lacetti,DAEWOO,2011,8097,1.6,239917 km
Genesis,HYUNDAI,2013,41048,2,95605 km
A8,AUDI,2003,34845,3.7,170000 km
Camry,TOYOTA,2014,862,2.5,130478 km
Transit,FORD,2008,15524,2.2 Turbo,107000 km
Q3,AUDI,2016,16308,2,1717 km
Sonata,HYUNDAI,2012,282,2.4,93816 km
H1,HYUNDAI,2018,45436,2.5,45535 km
Elantra,HYUNDAI,2011,13485,1.8,148552 km
Escape,FORD,2008,13485,2.3,175000 km
Santa FE,HYUNDAI,2015,44247,2,147542 km
Astra,OPEL,1999,4861,2.0 Turbo,0 km
E 350,MERCEDES-BENZ,2012,627,3.5,318285 km
Caliber journey,DODGE,2010,16480,2.4,83000 km
Cruze,CHEVROLET,2011,9832,2,169875 km
FIT,HONDA,2004,7527,1.3,150000 km
E 350,MERCEDES-BENZ,2013,5802,3.5,107800 km
Prius,TOYOTA,2012,6272,1.8,164688 km
Taurus,FORD,2013,39499,2,72407 km
CLK 200 208,MERCEDES-BENZ,1999,7527,2,16400 km
H1,HYUNDAI,2011,15612,2.5,259306 km
Cruze,CHEVROLET,2012,10036,1.4,148000 km
Sonata,HYUNDAI,2016,11290,2,239291 km
I30,HYUNDAI,2010,13877,1.6,103000 km
Camry,TOYOTA,2012,16935,2.5,112501 km
E 300,MERCEDES-BENZ,2017,314,2,26802 km
FIT,HONDA,2011,12231,1.3,160000 km
Santa FE,HYUNDAI,2012,29777,2,206608 km
Fusion,FORD,2015,2822,2,100747 km
Korando,SSANGYONG,2013,23138,2,77917 km
Corolla,TOYOTA,2011,1411,1.8,190789 km
FIT,HONDA,2005,8467,1.3,224476 km
Sonata,HYUNDAI,2015,9252,2,510853 km
Camry,TOYOTA,2014,862,2.5,130478 km
Combo,OPEL,2007,7840,1.3 Turbo,210000 km
Serena,NISSAN,2012,13172,2,121000 km
328,BMW,2016,9722,2,70195 km
Elantra,HYUNDAI,2015,10349,1.8,110000 km
E 350,MERCEDES-BENZ,2010,12388,3.5,189530 km
Sonata,HYUNDAI,2014,1803,2.4,0 km
H1,HYUNDAI,2014,27093,2.5,189167 km
Cruze LT,CHEVROLET,2017,18033,1.4 Turbo,49439 km
FIT,HONDA,2016,13476,1.3,4422 km
Elantra,HYUNDAI,2016,32274,1.8,86391 km
Optima,KIA,2013,8947,2,47232 km
E 240,MERCEDES-BENZ,1999,8000,2.4,253000 km
Corolla,TOYOTA,2015,2509,1.8,127680 km
Camry,TOYOTA,2018,28225,2.5,142000 km
Matiz,CHEVROLET,2006,7840,0.8,120000 km
Juke,NISSAN,2012,470,1.6,136712 km
Vito,MERCEDES-BENZ,2009,19444,2.2 Turbo,220000 km
Santa FE,HYUNDAI,2014,35579,2,175126 km
Orlando,CHEVROLET,2012,15125,2,156834 km
E 320,MERCEDES-BENZ,2003,16308,3.2,228000 km
Cr-v,HONDA,2002,9095,2,177000 km
Optima,KIA,2013,11917,2,53217 km
Astra,OPEL,2000,6272,2,0 km
